"topN","valid_obs","correlation"
10,648,0.850579489291495
20,648,0.889455397875716
30,648,0.912378785167146
40,648,0.926923884158361
50,648,0.933992696209329
60,648,0.941493464831506
70,648,0.947159676327249
80,648,0.952531699443392
90,648,0.956397964809997
100,648,0.959632427827675
